b0,b1,b2,b3,b4,b5,b6,b7,b8,seed,papr
0,0,0,0,0,0,0,0,0,0,10.71
0,0,0,0,0,0,0,0,1,1,12.2
0,0,0,0,0,0,0,1,0,2,12.05
0,0,0,0,0,0,1,0,0,4,11.68
0,0,0,0,0,1,0,0,0,8,11.71
0,0,0,0,1,0,0,0,0,16,11.16
0,0,0,1,0,0,0,0,0,32,11.66
0,0,1,0,0,0,0,0,0,64,11.23
0,1,0,0,0,0,0,0,0,128,11.2
1,0,0,0,0,0,0,0,0,256,11.83
0,1,0,0,0,0,0,1,0,130,12.17
0,0,1,0,0,0,1,0,0,68,11.19
0,0,0,1,0,1,0,0,0,40,11.19
0,0,0,1,0,0,1,0,0,36,11.27
0,0,1,0,1,0,0,0,0,80,11.71
0,1,0,0,0,0,0,0,1,129,11.19
1,0,1,0,0,0,0,0,0,320,12.04
1,1,1,1,1,1,1,1,1,511,11.71

